# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.fileByIdCache.hits,1741339346905000000,1741339351688000000,0
VFS.fileByIdCache.misses,1741339346905000000,1741339351688000000,0
VFS.fileChildByName,1741339346905000000,1741339351688000000,0
VFS.invertedFileNameIndex.requests,1741339346905000000,1741339351688000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1741339346905000000,1741339351688000000,0
Indexing.cache.totalCacheAccesses,1741339346905000000,1741339351688000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1741339346905000000,1741339351688000000,0
Indexing.cache.totalCacheMisses,1741339346905000000,1741339351688000000,0
Indexing.cache.totalCacheEvicted,1741339346905000000,1741339351688000000,0
Indexing.writesQueuedMax,1741339346905000000,1741339351688000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1741339346905000000,1741339351688000000,0
Indexing.totalTimeIndexersSleptMs,1741339346905000000,1741339351688000000,0
Indexing.writesQueuedMin,1741339346905000000,1741339351688000000,9223372036854775807
Indexing.writer_2.totalTimeSpentWritingMs,1741339346905000000,1741339351688000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1741339346905000000,1741339351688000000,0
DirectByteBufferAllocator.reclaimed,1741339346905000000,1741339351688000000,43
FilePageCacheLockFree.totalNativeBytesReclaimed,1741339346905000000,1741339351688000000,0
FilePageCache.uncachedFileAccess,1741339346905000000,1741339351688000000,604
FilePageCacheLockFree.totalPagesReclaimed,1741339346905000000,1741339351688000000,0
FilePageCache.pageFastCacheHits,1741339346905000000,1741339351688000000,23753
MappedFileStorage.storages,1741339346905000000,1741339351688000000,0
FilePageCacheLockFree.totalPagesWritten,1741339346905000000,1741339351688000000,0
MappedFileStorage.totalPagesMapped,1741339346905000000,1741339351688000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1741339346905000000,1741339351688000000,0
DirectByteBufferAllocator.hits,1741339346905000000,1741339351688000000,3
MappedFileStorage.totalTimeSpentOnMappingUs,1741339346905000000,1741339351688000000,143786
FilePageCache.pageLoadsAboveSizeThreshold,1741339346905000000,1741339351688000000,0
FilePageCacheLockFree.totalPagesAllocated,1741339346905000000,1741339351688000000,0
StorageLockContext.competingThreads.90P,1741339346905000000,1741339351688000000,0
